net,sta,lat,lon,elev,lito,lito_code,luse,luse_code,coast_dist,road_dist
IT,0CAN,43.4723,12.6308,0.41,3,Al,100,SL,55.7735439850788,17.11656769021473
IT,0PIO,43.5873,12.5127,0.386,3,Al,100,SL,46.1433130344381,12.546934879422192
IT,0REN,43.5462,12.264,0.516,6,Ssr,210,ACL,60.9064973949275,4.257962551635479
IT,ACQ,44.6826,8.4624,0.215,3,Al,300,FL,37.153543110511,29.659021679036023
IT,ACR,39.4889,16.3798,0.705,15,Sr,100,SL,22.5647695693587,19.27671705866341
IT,ACT,42.7713,13.4125,0.045,12,Cr,300,FL,43.8914380080853,26.921629129132658
IT,AGL,42.0873,12.3032,0.173,11,Pr,210,ACL,23.3928630562209,18.636341673631865
IT,AGNN,41.808,14.3706,0.808,6,Ssr,100,SL,43.8075679459755,12.594018539490396
IT,AGR,37.3231,13.586,0.339,5,E,340,OL,5.04182005323517,33.05378192406855
IT,ALC,37.9734,12.9597,0.312,12,Cr,100,SL,6.52899772585676,2.699835582607901
IT,ALD,39.9298,16.4653,0.785,6,Ssr,210,ACL,9.05018682534823,7.636291072501367
IT,ALF,44.5022,12.0334,0.006,3,Al,100,SL,19.674117288581,13.79761922842317
IT,ALFD,41.7415,14.0442,0.913,17,Ucr,100,SL,61.4760315481957,14.850973854704138
IT,ALSD,44.9387,8.5684,0.098,3,Al,100,SL,58.5377611292023,23.967050759765144
IT,ALT,40.5583,15.3921,0.357,16,Ccr,340,OL,37.9436327614525,12.659629030446542
IT,AMA,41.4676,13.335,0.156,17,Ucr,100,SL,19.2253519895494,16.912613228024778
IT,AME,42.5597,12.414,0.408,12,Cr,100,SL,71.6165783822211,2.4700960646573624
IT,AMN,39.1367,16.0796,0.098,17,Ucr,210,ACL,1.14566575087891,11.0870901250366
IT,AMSN,41.4684,13.3336,0.107,17,Ucr,100,SL,19.2902495922989,27.178606421735168
IT,AMT,42.6325,13.2866,0.933,6,Ssr,100,SL,57.4371948486591,13.160279982183456
IT,ANB,43.5922,13.5074,0.056,3,Al,100,SL,2.34426896390067,19.95233659944354
IX,AND3,40.9298,15.3331,0.905,17,Ucr,210,ACL,54.5379234548828,12.62218801948992
IT,ANT,42.4182,13.0786,0.564,12,Cr,100,SL,82.9527859060418,1.858419144043345
IT,ANZ,41.4507,12.6258,0.031,17,Ucr,100,SL,0.551101997699343,7.148192340385439
IT,AOSA,45.7398,7.3641,0.574,3,Al,100,SL,182.679653702812,15.45348955890842
IT,APNO,43.3638,13.3451,0.244,3,Al,100,SL,29.0011245037418,9.448605764173994
IT,APR,46.1562,10.1577,1.203,4,Gd,100,SL,215.011969619497,3.5540803461584605
IT,AQA,42.3755,13.3393,0.693,3,Al,300,FL,65.5875160557803,18.27530552413739
IT,AQF,42.3807,13.3547,0.805,3,Al,340,OL,64.2197123825706,85.24125801803208
IT,AQG,42.3737,13.337,0.743,12,Cr,210,ACL,65.857801205625,12.755443408466636
IT,AQK,42.345,13.4009,0.726,16,Ccr,100,SL,63.359527068787,10.095025891867476
IT,AQP,42.3837,13.3686,1.192,12,Cr,300,FL,63.0965347293127,0.2168384986355719
IT,AQV,42.3771,13.3439,0.692,3,Al,100,SL,65.175817588499,22.10837545519233
IT,ARCV,43.495,12.9396,0.63,10,M,100,SL,34.9077459659956,9.032587725970869
IT,ARE,38.5614,16.2088,0.492,13,Ir,210,ACL,18.5483861049041,149.81719958047657
IT,ARG,44.6306,11.8251,0.045,3,Al,100,SL,33.602543350789,24.461709246007253
IT,ARI,41.1546,15.0903,0.785,6,Ssr,100,SL,59.9767686561504,6.471578194617874
